account_id,industry,region,country,use_case
0013c00001q7RQeAAM,Consumer Marketplaces,N. America,United States,
0013n00001t6G5aAAE,Other,N. America,United States,
0013n00001t6G6RAAU,Other,N. America,United States,
0013n00001t6G6aAAE,Other,N. America,United States,
0013c00001q98rzAAA,Consumer Marketplaces,N. America,United States,
0013n00001t6G7wAAE,Other,N. America,United States,
0013n00001t6G8gAAE,Other,N. America,United States,
0013n00001t6G9cAAE,Other,N. America,United States,
0013n00001t6GA5AAM,Other,N. America,United States,
0013n00001t6GAgAAM,Other,N. America,United States,
0013n00001t6GAkAAM,Other,N. America,Canada,
0013n00001t6GB0AAM,Other,N. America,United States,
0013n00001t6GExAAM,Other,N. America,Canada,
0013n00001t6GI4AAM,Other,N. America,United States,
0013c00001r6iXTAAY,Other,N. America,United States,
0013n00001t6FpdAAE,Other,,,
0013n00001ufesPAAQ,Banks & lenders-Online Lenders,,,
0013n00001ufeszAAA,Banks & lenders-Other,,,
0013n00001vWms2AAC,eCommerce,,,
001C000000rSNdrIAG,Other,,,
0013c00001tz6xFAAQ,eCommerce-Physical goods,N. America,United States,
001C000000vW320IAC,Telephony Technology,,,
001C000000xXdWBIA0,Other,,,
001C000001BjnYxIAJ,Other,,,
001C000001FTlnbIAD,Other,,,
001C000001FUJtRIAX,Other,,,
001C000001FW3KdIAL,Other,,,
001C000001FWRVsIAP,Other,,,
001C000001NEe56IAD,eCommerce-Physical goods,,,
0013c00001tz6zQAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz6zcAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz6zsAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz70qAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz720AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz74nAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz76CAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz77MAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz78HAAQ,eCommerce-Physical goods,N. America,United States,
001C000001NjMb2IAF,Other,,,
001C000001OpeiQIAR,Other,,,
001C000001RB5GFIA1,Other,,,
0013n00001t6GObAAM,Other,N. America,United States,
0013n00001t6GQ3AAM,Other,N. America,United States,
0013n00001t6GQ7AAM,Other,N. America,United States,
0013n00001t6GQKAA2,Other,N. America,United States,
0013n00001t6GQOAA2,Other,N. America,United States,
0013c00001r6khAAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001r6khSAAQ,Other,N. America,United States,
0013c00001r6kiXAAQ,Other,N. America,United States,
0013n00001t6GSpAAM,Other,N. America,United States,
0013n00001t6GT7AAM,Other,N. America,United States,
0013n00001t6GTsAAM,Other,N. America,United States,
0013c00001r6kmoAAA,Other,N. America,United States,
0013c00001r6ksyAAA,Other,N. America,United States,
0013c00001r7yNDAAY,Other,N. America,United States,
0013c00001rcrArAAI,eCommerce-Physical goods,N. America,United States,
0013c00001rdoJlAAI,Other,N. America,United States,
0013c00001rkbPfAAI,eCommerce-Physical goods,N. America,United States,
0013n00001t6GbDAAU,Other,N. America,United States,
0013c00001rkt0UAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001t6GeaAAE,Other,N. America,United States,
0013c00001s2KfRAAU,eCommerce-Marketplaces,N. America,United States,
0013c00001sSYkfAAG,Other,N. America,United States,
0013c00001sUZWwAAO,Other,N. America,United States,
0013n00001t6GmWAAU,Other,N. America,United States,
0013n00001t6GmvAAE,Other,N. America,United States,
0013n00001t7FEAAA2,Payments,N. America,United States,
0013c00001tMh2ZAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tMh2nAAC,eCommerce-Physical goods,N. America,United States,
001C000001RacCxIAJ,eCommerce-Physical goods,,,
0013n00001tHXUaAAO,eCommerce,N. America,United States,
0013n00001tHpEvAAK,Other,N. America,United States,
001C000001TXgPwIAL,Other,,,
001C000001UvO40IAF,Other,,,
001C000001ZmSaTIAV,Other,,,
0013n00001t6GYBAA2,Other,N. America,United States,
0013n00001t6GYYAA2,Other,N. America,United States,
0013n00001t6GYrAAM,Other,N. America,United States,
0013c00001rcpPZAAY,Other,N. America,Canada,
0013n00001t6GatAAE,Other,N. America,United States,
0013c00001rkzXdAAI,Telephony Technology,N. America,United States,
0013c00001s1wzmAAA,eCommerce-Travel & hospitality,N. America,United States,
0013n00001t6GgHAAU,Other,N. America,United States,
0013c00001sSolzAAC,eCommerce-Physical goods,N. America,United States,
0013n00001t6Gl6AAE,Other,N. America,United States,
0013n00001t6GllAAE,Other,N. America,United States,
0013n00001t6GmSAAU,Other,N. America,United States,
0013n00001t6GmkAAE,Other,N. America,United States,
0013n00001t6GntAAE,Other,N. America,United States,
0013c00001tz7BRAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7BZAAY,eCommerce-Physical goods,N. America,United States,
0013n00001t7NjuAAE,Banks & lenders,N. America,Canada,
001C000001RapfYIAR,Other,,,
001C000001RbtGCIAZ,Other,,,
0013n00001tHXUWAA4,eCommerce,N. America,United States,
001C000001RpEZAIA3,eCommerce-Marketplaces,,,
001C000001UFZ5fIAH,eCommerce-Physical goods,,,
001C000001Vi9XnIAJ,Other,,,
001C000001WK1wBIAT,Other,,,
001C000001XJDkkIAH,Other,,,
001C000001Xx38jIAB,eCommerce-Physical goods,,,
001C000001cJKyiIAG,eCommerce-Physical goods,,,
001C000001epljJIAQ,Other,,,
001C000001eq6gOIAQ,Other,,,
001C000001hyGrRIAU,Other,,,
001C000001hznOLIAY,Banks & lenders-Other,,,
001C000001hzxB4IAI,Other,,,
001C000001i1NRAIA2,Other,,,
0013c00001r6krGAAQ,eCommerce-Physical goods,APAC,Indonesia,
0013c00001tz7DbAAI,eCommerce-Physical goods,N. America,United States,
0013c00001sVa5UAAS,Banks & lenders-Other Fintech,APAC,Hong Kong,
0013c00001sVa6SAAS,eCommerce-Physical goods,APAC,Hong Kong,
0013n00001tINPQAA4,Insurance,N. America,United States,
0013c00001tz7FZAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7LeAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7NoAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7O0AAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7TUAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7TsAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7UCAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7UiAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7V6AAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7W5AAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7WnAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7XQAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7XYAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZAAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZIAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZcAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7bOAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7byAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7dOAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7dSAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001tIxpPAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ePAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tMh6zAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMh73AAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIxquAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7fdAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7g5AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tMh8dAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIxs2AAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7gXAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001tIxs6AAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMh9rAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIxuAAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tMhABAA0,eCommerce-Physical goods,N. America,United States,
0013c00001tMhB0AAK,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ihAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ilAAA,eCommerce-Physical goods,N. America,United States,
0013n00001tIxuYAAS,eCommerce-Physical goods,N. America,United States,
0013n00001tIxuwAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7j9AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tMhBaAAK,eCommerce-Physical goods,N. America,Canada,
0013c00001tMhCcAAK,eCommerce-Physical goods,N. America,United States,
0013n00001tIxyUAAS,eCommerce-Physical goods,N. America,United States,
0013n00001tIxyYAAS,eCommerce-Physical goods,N. America,United States,
0013n00001tIxycAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7kyAAA,eCommerce-Physical goods,N. America,United States,
0013n00001tIxz8AAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIxzvAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMhFYAA0,eCommerce-Physical goods,N. America,United States,
0013n00001tIy07AAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIy0NAAS,eCommerce-Physical goods,N. America,United States,
001C000001Zpc8fIAB,Other,,,
001C000001cIq6mIAC,Other,,,
001C000001cLdBHIA0,Other,,,
001C000001h49DEIAY,eCommerce-Physical goods,,,
001C000001hzqNpIAI,eCommerce-Physical goods,,,
001C000001i08CEIAY,Other,,,
001C000001i1zOdIAI,Other,,,
001C000001kgPZEIA2,eCommerce-Physical goods,,,
0013c00001q9V6mAAE,Telephony Technology,APAC,India,
0013c00001rkuxgAAA,Banks & lenders,APAC,Hong Kong,
0013c00001tz7F5AAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7F9AAI,eCommerce-Physical goods,N. America,United States,
0013c00001sWFsWAAW,eCommerce,APAC,Australia,
0013n00001tIRExAAO,eCommerce,N. America,United States,
0013c00001tz7JgAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7KzAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7LVAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7NKAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7PXAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7SUAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7SYAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7SwAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7TPAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7TTAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7XjAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7YhAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZHAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZLAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZPAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tz7ZnAAI,eCommerce-Physical goods,N. America,United States,
0013c00001tz7aFAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7bBAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7bZAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001tIxntAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMh4lAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIxonAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7dpAAA,eCommerce-Physical goods,N. America,United States,
0013n00001tIxpKAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tz7fYAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tMh7pAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMh8GAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tMh8pAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMh91AAC,eCommerce-Physical goods,N. America,United States,
0013c00001tz7gaAAA,eCommerce-Physical goods,N. America,United States,
0013n00001tIxsXAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tz7i5AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tMhANAA0,eCommerce-Physical goods,N. America,United States,
0013c00001tz7igAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7jLAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7jPAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001tIxvuAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMhCbAAK,eCommerce-Physical goods,N. America,United States,
0013c00001tz7kJAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7kVAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7oxAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7p5AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7pDAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001tIxzSAAS,eCommerce-Physical goods,N. America,United States,
0013n00001tIxzqAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tMhFnAAK,eCommerce-Physical goods,N. America,United States,
0013c00001tMiRPAA0,eCommerce-Physical goods,N. America,United States,
0013n00001tIy1qAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIy1yAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIy2CAAS,eCommerce-Physical goods,N. America,United States,
0013n00001tIy2GAAS,eCommerce-Physical goods,N. America,United States,
0013c00001txxfjAAA,eCommerce,APAC,Japan,
0013n00001tIy4gAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tNBkJAAW,Banks & lenders,N. America,United States,
0013n00001tIy6iAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tNBkYAAW,Banks & lenders,N. America,United States,
0013c00001tNBkyAAG,Banks & lenders,N. America,United States,
0013n00001tIy7mAAC,eCommerce-Physical goods,N. America,United States,
0013n00001tIz08AAC,eCommerce-Physical goods,N. America,United States,
0013n00001tK8ZUAA0,Banks & lenders,N. America,United States,
0013n00001tK8ZpAAK,Banks & lenders-Other Fintech,N. America,United States,
0013c00001tNBpYAAW,Banks & lenders,N. America,United States,
0013c00001tyjgEAAQ,eCommerce-Physical goods,APAC,India,
0013c00001tNBqKAAW,Banks & lenders,N. America,United States,
0013c00001tNBqjAAG,Banks & lenders,N. America,United States,
0013c00001tNBrQAAW,Banks & lenders,N. America,United States,
0013c00001tNBrnAAG,Banks & lenders,N. America,United States,
0013c00001tNBwoAAG,Banks & lenders,N. America,Canada,
0013c00001tNBxgAAG,Banks & lenders,N. America,United States,
0013c00001tyjhQAAQ,eCommerce-Physical goods,APAC,Malaysia,
0013c00001tNByrAAG,Banks & lenders,N. America,United States,
0013c00001tNBzqAAG,Banks & lenders,N. America,United States,
0013n00001tIy1OAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tMiRmAAK,eCommerce-Physical goods,N. America,United States,
0013n00001tIy2QAAS,eCommerce-Physical goods,N. America,United States,
0013c00001tNiHQAA0,eCommerce-Physical goods,APAC,Malaysia,
0013c00001tNil3AAC,eCommerce-Physical goods,APAC,Philippines,
0013n00001tIy3lAAC,eCommerce-Physical goods,N. America,United States,
0013c00001tNBjUAAW,Banks & lenders,N. America,United States,
0013c00001tyjTwAAI,eCommerce-Physical goods,APAC,Japan,
0013c00001tNBlBAAW,Banks & lenders,N. America,United States,
0013c00001tNBlFAAW,Banks & lenders,N. America,United States,
0013c00001tyjY3AAI,eCommerce-Physical goods,APAC,South Korea,
0013n00001tIyKuAAK,eCommerce-Physical goods,N. America,United States,
0013n00001tJ8LmAAK,Banks & lenders,N. America,United States,
0013n00001tJeVBAA0,eCommerce-Marketplaces,N. America,United States,
0013n00001tK8ZNAA0,Banks & lenders-Other Fintech,N. America,United States,
0013c00001tyjamAAA,eCommerce-Physical goods,APAC,Indonesia,
0013c00001tyjaqAAA,eCommerce-Physical goods,APAC,Philippines,
0013c00001tNBqGAAW,Banks & lenders,N. America,United States,
0013c00001tyjgOAAQ,eCommerce-Physical goods,APAC,Australia,
0013c00001tyjgjAAA,eCommerce-Physical goods,APAC,Australia,
0013c00001tNBqxAAG,Banks & lenders,N. America,United States,
0013c00001tNBrFAAW,Banks & lenders,N. America,United States,
0013c00001tNBwTAAW,Banks & lenders,N. America,United States,
0013c00001tNBwpAAG,Banks & lenders,N. America,United States,
0013c00001tNBxCAAW,Banks & lenders,N. America,United States,
0013c00001tyk9KAAQ,eCommerce-Travel & hospitality,APAC,Australia,
0013c00001tz7q8AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tNC3ZAAW,Banks & lenders,N. America,United States,
0013c00001tNC9GAAW,Banks & lenders-Other,N. America,United States,
0013c00001tykDzAAI,Banks & lenders-Other,APAC,China,
0013c00001tNC9lAAG,Banks & lenders,N. America,United States,
0013c00001tykECAAY,eCommerce-Travel & hospitality,APAC,Singapore,
0013c00001tNC9yAAG,Banks & lenders,N. America,United States,
0013c00001tNCCQAA4,Banks & lenders-Other,N. America,United States,
0013c00001tykFWAAY,Consumer Marketplaces,APAC,Singapore,
0013c00001tNCDAAA4,Banks & lenders,N. America,United States,
0013c00001tNCDUAA4,Banks & lenders,N. America,United States,
0013c00001tykFuAAI,Consumer Marketplaces,APAC,China,
0013c00001tz7wQAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz7wgAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7x8AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tNCEvAAO,Banks & lenders,N. America,United States,
0013c00001tykK9AAI,Banks & lenders-Other,APAC,China,
0013n00001vyYdPAAU,Banks & lenders-Other Fintech,N. America,United States,
0013c00001tykKLAAY,eCommerce-Physical goods,APAC,Indonesia,
0013n00001vzY3XAAU,eCommerce-Physical goods,N. America,United States,
0013n00001w0ApWAAU,Banks & lenders-Other Fintech,N. America,United States,
0013c00001tz7yAAAQ,eCommerce-Physical goods,N. America,United States,
0013n00001w0lA1AAI,Banks & lenders,N. America,United States,
0013c00001tz7yQAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tykLXAAY,Banks & lenders,APAC,Philippines,
0013c00001tz7ytAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7z1AAA,eCommerce-Physical goods,N. America,United States,
0013n00001w15g4AAA,,N. America,United States,
0013n00001w15hMAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tykLzAAI,Payments,APAC,India,
0013c00001tykMHAAY,Banks & lenders-Other,APAC,Taiwan,
0013n00001w2RCiAAM,Banks & lenders,N. America,United States,
0013c00001tykPzAAI,Banks & lenders,APAC,Malaysia,
0013c00001tz81LAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz82rAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz84HAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tz85BAAQ,eCommerce-Physical goods,N. America,United States,
0013c00001tymhwAAA,eCommerce-Physical goods,APAC,Japan,
0013c00001tymjIAAQ,eCommerce-Physical goods,APAC,Taiwan,
0013c00001tymjOAAQ,eCommerce-Physical goods,APAC,Japan,
0013c00001tz861AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz869AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tymjtAAA,eCommerce-Physical goods,APAC,Australia,
0013c00001tyml3AAA,eCommerce-Physical goods,APAC,India,
0013c00001tymlPAAQ,eCommerce-Physical goods,APAC,South Korea,
0013c00001uLCEaAAO,Banks & lenders-Online Lenders,APAC,China,
0013c00001tz89kAAA,eCommerce-Physical goods,N. America,United States,
0013c00001unaLzAAI,Banks & lenders-Online Lenders,APAC,Singapore,
0013n00001t6FfSAAU,Banks & lenders-Online Lenders,APAC,India,
0013n00001t6FgHAAU,Banks & lenders-Other,APAC,New Zealand,
001C000000qumHrIAI,Other,N. America,United States,
0013c00001tz8AWAAY,eCommerce-Physical goods,N. America,United States,
0013n00001t6FmVAAU,Other,APAC,India,
0013n00001t6FttAAE,Banks & lenders-Online Lenders,APAC,India,
001C000000rSNhVIAW,Other,N. America,United States,
0013c00001tNCH4AAO,Banks & lenders,N. America,United States,
0013c00001tz8BYAAY,eCommerce-Physical goods,N. America,United States,
0013n00001t6wCOAAY,eCommerce-Digital goods,APAC,India,
001C000000rSSBfIAO,Other,N. America,United States,
001C000000rSSGiIAO,Other,N. America,United States,
0013c00001tz8DOAAY,eCommerce-Physical goods,N. America,United States,
0013c00001tNBzyAAG,Banks & lenders,N. America,United States,
0013c00001tNC09AAG,Banks & lenders,N. America,United States,
0013c00001tNC1mAAG,Banks & lenders,N. America,United States,
0013c00001tNC21AAG,Banks & lenders,N. America,United States,
0013c00001tNC3CAAW,Banks & lenders,N. America,United States,
0013c00001tyk97AAA,eCommerce-Physical goods,APAC,Australia,
0013c00001tz7qtAAA,eCommerce-Physical goods,N. America,United States,
0013c00001tz7r9AAA,eCommerce-Physical goods,N. America,United States,
0013c00001tNCA1AAO,Banks & lenders,N. America,United States,
0013c00001tNCARAA4,Banks & lenders,N. America,United States,
0013c00001tNCBkAAO,Banks & lenders,N. America,United States,
